day,action,price,predicted_prob,balance,positions,portfolio_value
0,buy,98692.44773552474,0.5127330422401428,1307.5522644752637,1,100000.0
1,buy,98975.0605619712,0.5129980444908142,1307.5522644752637,1,100282.61282644646
2,buy,98901.87439582884,0.5107793807983398,1307.5522644752637,1,100209.4266603041
3,hold,98359.249482822,0.5097422003746033,1307.5522644752637,1,99666.80174729726
4,hold,98548.2185810839,0.5086959004402161,1307.5522644752637,1,99855.77084555916
5,buy,97920.76851950152,0.5103346705436707,1307.5522644752637,1,99228.32078397679
6,buy,97232.86007013674,0.5103641152381897,1307.5522644752637,1,98540.412334612
7,hold,96581.82206855997,0.5061290860176086,1307.5522644752637,1,97889.37433303523
8,hold,96720.71725520356,0.5044358372688293,1307.5522644752637,1,98028.26951967883
9,hold,96340.12998876366,0.504665195941925,1307.5522644752637,1,97647.68225323892
10,hold,95967.15004023662,0.50421541929245,1307.5522644752637,1,97274.70230471189
11,hold,96900.66888552892,0.5043905973434448,1307.5522644752637,1,98208.22115000419
12,hold,96784.5850446752,0.5068576335906982,1307.5522644752637,1,98092.13730915046
13,hold,96928.85157608312,0.5079318881034851,1307.5522644752637,1,98236.40384055839
14,hold,96567.63486519158,0.5059114694595337,1307.5522644752637,1,97875.18712966684
15,hold,96656.38389228036,0.5039634108543396,1307.5522644752637,1,97963.93615675562
16,hold,97463.82094798236,0.5034997463226318,1307.5522644752637,1,98771.37321245762
17,hold,97585.5765251919,0.5011804699897766,1307.5522644752637,1,98893.12878966716
18,hold,97442.04681675724,0.4996284544467926,1307.5522644752637,1,98749.5990812325
19,hold,97459.12539682529,0.49653908610343933,1307.5522644752637,1,98766.67766130055
20,hold,97354.27325739388,0.4944334924221039,1307.5522644752637,1,98661.82552186915
21,hold,96876.89154634211,0.5020889043807983,1307.5522644752637,1,98184.44381081738
22,hold,96765.55824275386,0.5057550668716431,1307.5522644752637,1,98073.11050722912
23,hold,97129.2131679456,0.5087447166442871,1307.5522644752637,1,98436.76543242087
24,hold,97337.0309896322,0.5076291561126709,1307.5522644752637,1,98644.58325410746
25,buy,97316.41651615773,0.5104982256889343,1307.5522644752637,1,98623.96878063299
26,buy,97760.09397417757,0.5124209523200989,1307.5522644752637,1,99067.64623865283
27,buy,98006.31102408515,0.512050211429596,1307.5522644752637,1,99313.86328856042
28,buy,98873.42490634344,0.5114583969116211,1307.5522644752637,1,100180.9771708187
29,hold,99606.01843437884,0.5088470578193665,1307.5522644752637,1,100913.5706988541
30,hold,98081.80812585702,0.507493257522583,1307.5522644752637,1,99389.36039033228
31,hold,97880.4713224182,0.5080044865608215,1307.5522644752637,1,99188.02358689347
32,hold,97416.13593512992,0.5073036551475525,1307.5522644752637,1,98723.68819960518
33,hold,97758.33738706808,0.5078103542327881,1307.5522644752637,1,99065.88965154334
34,hold,96896.28982042264,0.5098852515220642,1307.5522644752637,1,98203.8420848979
