timestamp,price,volume,market_cap
2024-11-26 17:08:52.686,93816.48423067528,122495232336.05537,1855849873326.6675
2024-11-26 18:15:31.563,93153.52006682314,119276480841.42366,1851536680077.8352
2024-11-26 19:11:33.951,92457.07367896379,117233207177.81401,1828672497091.532
2024-11-26 20:11:29.724,91948.7665271105,117008162678.42685,1818554187391.7993
2024-11-26 21:04:08.423,90911.13567641751,117694706618.4502,1800674260228.9138
2024-11-26 22:02:26.127,91723.76190532198,106530677158.2384,1814655424739.0554
2024-11-26 23:02:09.980,91798.21404384292,111587118200.385,1816855529824.731
2024-11-27 00:01:27.083,91966.12546082259,103570502930.69696,1818979155854.6248
2024-11-27 01:00:51.391,91933.92643871943,102563660663.2141,1820457911135.0195
2024-11-27 02:12:22.913,92607.25978525801,100460944227.25665,1833315342666.058
2024-11-27 03:15:33.378,92757.25760440195,94749412992.02003,1835570711018.4753
2024-11-27 04:08:33.302,92540.63200465744,100758634199.28546,1830924537270.7593
2024-11-27 05:17:09.920,92467.19419996986,99495174973.5691,1829243987251.1724
2024-11-27 06:17:14.653,93116.52878592828,101570261370.12958,1834126731511.6306
2024-11-27 07:03:27.951,93041.15493061596,100853029535.12315,1841345068562.5222
2024-11-27 08:18:03.422,93358.52950733504,87947289399.32263,1848639896607.0112
2024-11-27 09:11:32.493,93353.14544962376,96419907093.54094,1847277410014.0781
2024-11-27 10:08:10.002,93421.06777149941,85092308656.33385,1849215846177.8447
2024-11-27 11:16:13.813,93720.0281114403,90747101431.68896,1854073416820.2637
2024-11-27 12:01:51.889,93357.55242737303,78058160135.1529,1847738127973.7847
2024-11-27 13:17:08.922,93629.54950174688,78906241717.95927,1854340175706.5999
2024-11-27 14:16:04.088,94329.7143041084,84962840826.49048,1866608177863.9854
2024-11-27 15:14:42.526,94861.93284322716,82220971218.80869,1877192022350.2185
2024-11-27 16:12:55.979,95789.66766620122,86020528931.71312,1890181730842.645
2024-11-27 17:15:10.071,95515.77323187885,86437788344.2032,1894430693499.8105
2024-11-27 18:07:48.215,96424.72297475173,81358512030.74437,1908070738921.7524
2024-11-27 19:10:52.225,96170.26060853197,85748829245.76776,1905258441498.2068
2024-11-27 20:00:57.240,96657.69896151192,81018139444.81398,1910776354321.8728
2024-11-27 21:16:23.853,96666.00439308601,76194230006.68413,1913169243375.2378
2024-11-27 22:10:15.508,96491.06000818207,77683850707.76556,1909648760974.0242
2024-11-27 23:01:23.151,96170.73566599475,76035011085.98392,1904989663178.5066
2024-11-28 00:09:10.231,95951.2085932291,81377646931.35751,1897341427707.3914
2024-11-28 01:05:20.294,96614.05040446685,84351268191.41109,1911817186073.167
2024-11-28 02:15:29.415,96276.71642483807,83716993663.63863,1907923156563.3787
2024-11-28 03:12:48.187,95479.544969306,77579449979.72827,1891437838148.0376
2024-11-28 04:07:54.375,95703.61262402752,82875755589.41708,1890952960620.9668
2024-11-28 05:10:40.671,95988.10541431927,85283524829.56593,1896700642062.9587
2024-11-28 06:16:23.524,95186.68566247674,82825509806.71153,1887828797712.9524
2024-11-28 07:04:49.175,95515.34711807224,85202612316.9713,1891445516590.6213
2024-11-28 08:09:31.240,95393.76265151467,83915860687.19211,1886705002875.4763
2024-11-28 09:05:30.049,95502.0233166038,81214199050.10379,1889221701714.553
2024-11-28 10:08:21.132,94760.40084653812,85092568396.44504,1878357849465.9463
2024-11-28 11:12:13.865,94983.44976143821,81291328248.53584,1880931663189.401
2024-11-28 12:10:00.091,95481.90220044892,80826993584.06696,1890814927554.336
2024-11-28 13:03:49.445,95475.11606956099,82029959154.38112,1889347762511.5325
2024-11-28 14:12:34.841,96198.05364234172,86443734202.3177,1897831325329.6155
2024-11-28 15:03:17.960,95387.70283031963,83978781885.92888,1892452698096.196
2024-11-28 16:04:17.979,95028.11522967313,74955940901.29468,1881118431506.3213
2024-11-28 17:00:50.308,94870.52015258135,78416524273.12347,1878595644364.191
2024-11-28 18:05:43.770,94913.79266980878,69951417282.04219,1877744369701.429
2024-11-28 19:13:42.607,95259.23310011603,73004402770.66443,1886827681893.7925
2024-11-28 20:14:14.229,95067.89673866176,69221301594.70926,1881246537096.186
2024-11-28 21:04:50.319,94832.58319602066,66907049477.10513,1874484178489.4595
2024-11-28 22:08:34.909,95070.723499186,65183465637.15729,1881313926581.1414
2024-11-28 23:14:21.926,95690.73120439636,63358052868.748024,1894272242330.5415
2024-11-29 00:16:42.940,95491.15372866433,63496056883.03745,1888580084524.1404
2024-11-29 01:15:08.249,95605.1000917574,57891239183.25212,1891327272906.765
2024-11-29 02:09:24.477,96185.70817332235,62315206651.43196,1898781927040.41
2024-11-29 03:10:00.842,96689.2115628015,59039726951.83727,1913032911061.8848
2024-11-29 04:14:00.385,96453.7957193378,59312671948.40484,1908609118892.0833
2024-11-29 05:00:42.050,96379.56503402354,58762888131.65012,1908127631442.801
2024-11-29 06:12:40.035,96373.51348577719,57004723790.83956,1904642554595.6707
2024-11-29 07:00:45.538,96125.36721127221,48311517256.794556,1903033404048.3235
2024-11-29 08:11:59.366,95825.0748819143,52614172184.68031,1895699995873.6538
2024-11-29 09:05:54.572,95945.75550951564,55970226209.578995,1899745772575.3362
2024-11-29 10:10:41.814,96456.81032264214,55587814969.99828,1908775041905.026
2024-11-29 11:16:47.095,96642.49448371603,56704397380.16446,1913460187528.0806
2024-11-29 12:12:24.907,97395.2053894119,56684430125.72878,1925436841854.5369
2024-11-29 13:12:07.077,97007.00175095935,58938364816.462776,1918054380780.0347
2024-11-29 14:14:36.284,97046.8047280419,56300463705.68108,1920861064734.9973
